,rate_marriage,age,yrs_married,children,religious,educ,occupation,occupation_husb,affairs
0,3.0,32.0,9.0,3.0,3.0,17.0,2.0,5.0,0.1111111
1,3.0,27.0,13.0,3.0,1.0,14.0,3.0,4.0,3.2307692
2,4.0,22.0,2.5,0.0,1.0,16.0,3.0,5.0,1.3999996
3,4.0,37.0,16.5,4.0,3.0,16.0,5.0,5.0,0.7272727
4,5.0,27.0,9.0,1.0,1.0,14.0,3.0,4.0,4.666666
5,4.0,27.0,9.0,0.0,2.0,14.0,3.0,4.0,4.666666
6,5.0,37.0,23.0,5.5,2.0,12.0,5.0,4.0,0.8521735
7,5.0,37.0,23.0,5.5,2.0,12.0,2.0,3.0,1.826086
8,3.0,22.0,2.5,0.0,2.0,12.0,3.0,3.0,4.7999992
9,3.0,27.0,6.0,0.0,1.0,16.0,3.0,5.0,1.333333
10,2.0,27.0,6.0,2.0,1.0,16.0,3.0,5.0,3.2666645
11,5.0,27.0,6.0,2.0,3.0,14.0,3.0,5.0,2.041666
12,3.0,37.0,16.5,5.5,1.0,12.0,2.0,3.0,0.4848484
13,5.0,27.0,6.0,0.0,2.0,14.0,3.0,2.0,2.0
14,4.0,22.0,6.0,1.0,1.0,14.0,4.0,4.0,3.2666645
15,4.0,37.0,9.0,2.0,2.0,14.0,3.0,6.0,1.3611107
16,4.0,27.0,6.0,1.0,1.0,12.0,3.0,5.0,2.0
17,1.0,37.0,23.0,5.5,4.0,14.0,5.0,2.0,1.826086
18,2.0,42.0,23.0,2.0,2.0,20.0,4.0,4.0,1.826086
19,4.0,37.0,6.0,0.0,2.0,16.0,5.0,4.0,2.041666
20,5.0,22.0,2.5,0.0,2.0,14.0,3.0,4.0,7.8399963
21,3.0,37.0,16.5,5.5,2.0,9.0,3.0,2.0,2.545454
22,3.0,42.0,23.0,5.5,3.0,12.0,5.0,4.0,0.5326087
23,2.0,27.0,9.0,2.0,4.0,20.0,3.0,4.0,0.6222222
24,4.0,27.0,6.0,1.0,2.0,12.0,5.0,4.0,0.5833333
25,5.0,27.0,2.5,0.0,3.0,16.0,4.0,1.0,4.7999992
26,2.0,27.0,6.0,2.0,2.0,12.0,2.0,5.0,0.1666666
27,5.0,37.0,13.0,1.0,3.0,12.0,3.0,4.0,0.6153846
28,2.0,32.0,16.5,2.0,2.0,12.0,4.0,2.0,1.1878777
29,3.0,27.0,6.0,1.0,1.0,14.0,3.0,6.0,11.1999989
30,3.0,32.0,16.5,4.0,3.0,14.0,5.0,5.0,1.1878777
31,3.0,27.0,9.0,2.0,1.0,14.0,3.0,4.0,2.1777763
32,3.0,37.0,16.5,3.0,3.0,14.0,3.0,2.0,0.4848484
33,4.0,32.0,16.5,5.5,4.0,12.0,2.0,4.0,0.7272727
34,5.0,42.0,16.5,4.0,3.0,16.0,4.0,6.0,0.7272727
35,3.0,27.0,9.0,2.0,2.0,12.0,5.0,2.0,1.333333
36,3.0,17.5,0.5,0.0,1.0,12.0,3.0,2.0,7.0
37,4.0,42.0,23.0,5.5,2.0,20.0,3.0,2.0,0.5217391
38,5.0,37.0,16.5,3.0,3.0,12.0,3.0,5.0,0.2121212
39,4.0,22.0,2.5,1.0,2.0,14.0,3.0,5.0,0.4
40,4.0,27.0,2.5,0.0,2.0,16.0,4.0,1.0,1.3999996
41,4.0,22.0,2.5,0.0,2.0,14.0,3.0,6.0,3.1999998
42,4.0,37.0,13.0,3.0,2.0,16.0,4.0,5.0,1.5076914
43,4.0,22.0,2.5,0.0,2.0,16.0,3.0,4.0,7.8399963
44,4.0,22.0,2.5,0.0,1.0,14.0,1.0,2.0,7.8399963
45,5.0,22.0,2.5,0.0,3.0,12.0,3.0,2.0,0.4
46,5.0,22.0,2.5,0.0,3.0,16.0,4.0,5.0,4.8999996
47,3.0,42.0,23.0,4.0,3.0,16.0,5.0,5.0,0.0434783
48,5.0,32.0,13.0,3.0,3.0,14.0,4.0,4.0,0.0769231
49,5.0,22.0,6.0,2.0,2.0,14.0,3.0,4.0,0.5833333
50,3.0,27.0,2.5,1.0,4.0,17.0,4.0,6.0,4.7999992
51,2.0,42.0,23.0,3.0,3.0,14.0,3.0,5.0,0.8521735
52,4.0,22.0,2.5,0.0,1.0,17.0,6.0,6.0,4.7999992
53,2.0,42.0,23.0,3.0,3.0,14.0,3.0,5.0,2.9217386
54,4.0,42.0,23.0,2.0,2.0,14.0,4.0,4.0,0.5217391
55,4.0,42.0,23.0,3.0,3.0,12.0,5.0,4.0,0.5326087
56,4.0,37.0,16.5,2.0,3.0,14.0,3.0,4.0,0.4848484
57,4.0,27.0,2.5,0.0,2.0,20.0,4.0,5.0,7.8399963
58,2.0,32.0,9.0,2.0,2.0,12.0,2.0,2.0,1.333333
59,4.0,42.0,13.0,0.0,1.0,14.0,3.0,4.0,1.5076914
60,4.0,22.0,6.0,2.0,1.0,12.0,3.0,4.0,1.333333
61,5.0,32.0,16.5,3.0,3.0,14.0,2.0,4.0,1.1878777
62,4.0,42.0,13.0,0.0,2.0,12.0,3.0,2.0,1.5076914
63,5.0,27.0,9.0,1.0,3.0,14.0,5.0,5.0,1.333333
64,5.0,22.0,6.0,2.0,2.0,12.0,2.0,5.0,7.0
65,2.0,27.0,16.5,2.0,3.0,16.0,4.0,5.0,0.7272727
66,5.0,37.0,13.0,2.0,1.0,12.0,3.0,4.0,1.5076914
67,5.0,27.0,6.0,0.0,2.0,14.0,3.0,4.0,2.041666
68,2.0,27.0,2.5,1.0,1.0,12.0,2.0,3.0,26.8799896
69,5.0,42.0,23.0,5.5,4.0,20.0,5.0,4.0,0.5326087
70,5.0,27.0,6.0,0.0,2.0,16.0,5.0,2.0,2.0
71,5.0,37.0,16.5,3.0,2.0,14.0,3.0,5.0,0.2121212
72,2.0,32.0,9.0,2.0,2.0,16.0,3.0,5.0,1.333333
73,3.0,37.0,16.5,5.5,3.0,12.0,5.0,5.0,2.545454
74,5.0,27.0,6.0,2.0,2.0,12.0,3.0,4.0,0.1666666
75,5.0,32.0,16.5,3.0,1.0,12.0,4.0,4.0,0.4848484
76,5.0,27.0,9.0,2.0,1.0,14.0,5.0,1.0,1.333333
77,4.0,22.0,2.5,0.0,2.0,16.0,5.0,5.0,0.4
78,5.0,32.0,16.5,2.0,4.0,14.0,5.0,2.0,0.4848484
79,2.0,22.0,6.0,2.0,2.0,14.0,2.0,5.0,0.1666666
80,3.0,32.0,13.0,3.0,1.0,12.0,4.0,5.0,1.5076914
