ID_Empleado,Turno,Experiencia,Nivel_Educativo,Tiempo_Resolución_Min,Casos_Resueltos,Tipo_Caso,Satisfacción_Cliente,Capacitaciones_Anuales
1,Noche,4.4,Técnico,35.0,89,Cuenta,3.0,5.2
2,Mañana,2.3,Técnico,21.0,73,Software,,1.0
3,Noche,2.0,Universitario,37.3,89,Hardware,5.0,1.4
4,Noche,1.2,Básico,28.7,79,Software,5.0,2.6
5,Mañana,6.3,Básico,25.1,84,Software,,3.2
6,Mañana,10.1,Universitario,29.6,81,Hardware,4.0,5.4
7,Noche,5.9,Técnico,44.4,71,Hardware,4.0,3.3
8,Tarde,8.3,Universitario,29.1,79,Hardware,4.0,3.3
9,Noche,7.3,Técnico,32.8,76,Cuenta,3.0,3.9
10,Noche,4.0,Básico,30.9,81,Cuenta,3.0,3.1
11,Noche,7.5,Técnico,30.9,82,Software,1.0,2.8
12,Noche,4.0,Técnico,42.2,92,Software,2.0,2.5
13,Mañana,4.1,Técnico,38.3,87,Cuenta,1.0,3.0
14,Noche,4.6,Técnico,16.4,80,Hardware,3.0,4.4
15,Tarde,4.7,Técnico,35.5,83,Hardware,4.0,2.7
16,Mañana,6.3,Técnico,46.1,66,Hardware,,2.9
17,Tarde,3.7,Básico,27.7,78,Cuenta,1.0,2.6
18,Tarde,6.8,Técnico,38.5,70,Hardware,3.0,2.9
19,Tarde,6.7,Básico,2.3,85,Software,4.0,3.5
20,Tarde,5.7,Básico,20.3,79,Cuenta,4.0,1.9
21,Mañana,8.9,Básico,53.9,88,Hardware,4.0,3.8
22,Mañana,7.6,Básico,37.6,83,Software,5.0,3.2
23,Tarde,7.1,Universitario,32.2,79,Software,,3.7
24,Tarde,5.1,Básico,48.4,61,Hardware,2.0,3.7
25,Mañana,5.7,Básico,18.9,83,Cuenta,,2.2
26,Mañana,6.0,Universitario,42.7,71,Cuenta,5.0,2.6
27,Mañana,5.0,Técnico,21.4,81,Hardware,5.0,1.8
28,Noche,4.2,Técnico,30.9,61,Cuenta,3.0,2.5
29,Noche,0.2,Técnico,13.8,71,Software,,2.7
30,Noche,6.4,Técnico,26.2,85,Hardware,1.0,4.7
31,Tarde,7.1,Técnico,43.2,81,Cuenta,5.0,3.7
32,Noche,2.7,Básico,24.9,82,Cuenta,4.0,1.8
33,Tarde,6.2,Universitario,34.9,83,Cuenta,2.0,1.8
34,Tarde,3.8,Básico,25.1,86,Hardware,5.0,5.4
35,Noche,4.3,Básico,34.3,83,Hardware,4.0,3.3
36,Tarde,7.6,Técnico,37.4,88,Software,3.0,1.4
37,Noche,3.0,Técnico,23.2,77,Hardware,4.0,2.2
38,Noche,3.0,Técnico,21.3,73,Hardware,2.0,1.5
39,Mañana,8.6,Universitario,26.0,90,Cuenta,3.0,2.9
40,Noche,4.7,Universitario,25.8,69,Cuenta,1.0,3.2
41,Mañana,7.5,Universitario,9.8,87,Hardware,3.0,4.3
42,Noche,1.8,Básico,33.3,65,Cuenta,3.0,1.7
43,Noche,2.0,Universitario,33.8,77,Cuenta,1.0,2.4
44,Mañana,3.2,Técnico,12.0,81,Hardware,3.0,3.3
45,Mañana,4.0,Básico,38.4,85,Hardware,3.0,3.7
46,Noche,2.2,Técnico,26.0,75,Cuenta,4.0,4.1
47,Tarde,5.7,Universitario,33.3,88,Software,1.0,1.2
48,Mañana,5.9,Básico,27.5,65,Software,4.0,3.2
49,Tarde,3.2,Técnico,33.3,75,Hardware,3.0,3.5
50,Tarde,3.4,Universitario,31.2,98,Software,2.0,3.8
51,Tarde,3.6,Básico,38.8,66,Cuenta,4.0,3.0
52,Mañana,2.7,Técnico,30.0,71,Cuenta,3.0,3.5
53,Tarde,-0.8,Técnico,37.5,84,Hardware,3.0,4.5
54,Mañana,4.8,Técnico,44.2,80,Software,,2.9
55,Tarde,4.1,Básico,29.2,92,Cuenta,5.0,3.1
56,Noche,4.3,Técnico,27.4,83,Cuenta,2.0,2.9
57,Noche,3.0,Técnico,35.6,82,Software,3.0,2.7
58,Mañana,6.6,Universitario,9.4,86,Cuenta,4.0,1.7
59,Noche,9.9,Universitario,21.3,67,Cuenta,3.0,2.7
60,Noche,3.3,Universitario,20.9,84,Software,3.0,3.7
61,Tarde,7.8,Básico,35.5,91,Software,,3.6
62,Mañana,5.7,Básico,31.5,76,Hardware,2.0,2.9
63,Tarde,5.1,Técnico,42.7,79,Software,3.0,3.0
64,Tarde,4.3,Universitario,42.1,75,Hardware,3.0,1.2
65,Tarde,4.8,Universitario,10.4,89,Software,1.0,4.1
66,Tarde,7.3,Universitario,13.1,76,Hardware,3.0,1.0
67,Tarde,2.7,Técnico,30.4,86,Cuenta,3.0,1.7
68,Tarde,4.4,Básico,14.5,52,Hardware,2.0,3.0
69,Tarde,7.5,Universitario,10.3,71,Hardware,,3.6
70,Mañana,7.0,Básico,22.6,73,Cuenta,3.0,4.5
71,Noche,2.8,Básico,9.1,74,Software,3.0,4.0
72,Tarde,4.6,Universitario,19.7,74,Software,5.0,3.7
73,Tarde,6.5,Técnico,37.1,76,Hardware,2.0,3.4
74,Tarde,6.3,Básico,25.1,83,Software,4.0,0.3
75,Tarde,7.0,Técnico,45.0,83,Hardware,3.0,3.5
76,Tarde,5.8,Básico,24.3,77,Cuenta,3.0,4.1
77,Tarde,6.1,Técnico,35.5,68,Software,3.0,1.5
78,Noche,5.7,Básico,24.7,88,Software,1.0,3.2
79,Noche,8.2,Universitario,27.8,80,Software,5.0,1.4
