,default_riesgo,ingreso_anual,edad,n_transacciones,segmento_cliente,region,score,cliente_riesgoso
0,0,659000,46,19,Bronze,Sur,0.1646283383583977,NO
1,1,592600,44,21,Silver,Norte,0.5899903037422194,YES
2,0,602500,42,13,Bronze,Centro,0.0478499731795889,NO
3,0,295100,52,15,Bronze,Norte,0.0538963072655722,NO
4,0,681800,35,19,Silver,Norte,-0.0860737988473103,NO
5,0,539200,49,22,Gold,Norte,0.1354210925245083,NO
6,0,444600,24,20,Silver,Centro,-0.0287707055549476,NO
7,1,521500,31,14,Gold,Norte,0.661624701908699,YES
8,0,233600,22,18,Gold,Sur,0.2111613218417972,NO
9,0,561300,37,28,Platinum,Centro,0.0522766742366718,NO
10,0,345600,40,14,Gold,Centro,0.0925290549685498,NO
11,1,297100,41,18,Silver,Sur,0.8354892931521838,YES
12,0,271600,41,21,Bronze,Centro,-0.0650473999459217,NO
13,0,666900,31,25,Bronze,Norte,0.1249821097053679,NO
14,0,405600,38,16,Silver,Centro,-0.050189411499767,NO
15,0,730100,25,21,Platinum,Sur,-0.0544623389338297,NO
16,0,419600,54,16,Silver,Centro,-0.0271999972308136,NO
17,0,243900,37,19,Silver,Sur,-0.0622064834944954,NO
18,0,332500,35,23,Silver,Centro,0.0822156432657162,NO
19,0,685400,56,21,Silver,Sur,0.0267210655145055,NO
20,0,476600,28,20,Silver,Centro,-0.0491224414617112,NO
21,0,417800,29,16,Silver,Norte,0.0674505033154821,NO
22,0,524000,29,26,Bronze,Sur,-0.0275182437386346,NO
23,0,575300,39,25,Silver,Sur,-0.0328070370364676,NO
24,0,667600,44,18,Gold,Centro,0.0048683884901543,NO
25,0,717300,47,19,Gold,Centro,0.0463460355666217,NO
26,0,446000,66,19,Bronze,Centro,0.0389847649377419,NO
27,0,301100,18,20,Gold,Norte,-0.036324918225283,NO
28,0,438000,46,26,Bronze,Centro,0.0847111207439402,NO
29,0,539000,34,21,Bronze,Sur,-0.0222394151079656,NO
30,0,355400,34,23,Silver,Centro,-0.0654984488608719,NO
31,0,356400,34,27,Bronze,Norte,-0.1468021648767351,NO
32,0,551600,31,16,Bronze,Centro,0.0983178480999021,NO
33,1,492700,57,26,Bronze,Centro,0.7012390076194007,YES
34,1,504900,48,15,Silver,Sur,0.7210872358510514,YES
35,0,386200,40,16,Bronze,Centro,0.1045802915699515,NO
36,0,465400,54,19,Silver,Norte,-0.0477406231597816,NO
37,0,361400,25,19,Silver,Centro,-0.1374399248474128,NO
38,0,633500,27,24,Silver,Centro,0.0069780702215218,NO
39,0,655300,18,23,Gold,Sur,0.0307961552080295,NO
40,0,223100,33,30,Silver,Centro,-0.0262849066160372,NO
41,0,360600,42,26,Bronze,Sur,0.1473737578076169,NO
42,0,275500,41,23,Bronze,Sur,-0.2486166567721356,NO
43,1,402500,41,15,Silver,Centro,0.8120056637899783,YES
44,0,487500,26,13,Silver,Sur,0.0791153650364225,NO
45,0,282600,48,22,Bronze,Sur,0.0456770777700459,NO
46,0,361700,42,22,Bronze,Centro,-0.3335901549469096,NO
47,0,349400,47,21,Gold,Centro,0.1283888783270268,NO
48,0,531100,21,29,Silver,Norte,-0.1026434110635885,NO
49,0,510400,43,34,Silver,Norte,-0.0507691978383386,NO
50,1,391700,28,17,Gold,Sur,0.682940733520993,YES
51,0,526500,36,22,Gold,Sur,0.0407418034651975,NO
52,1,418000,45,20,Silver,Centro,0.763942804219255,YES
53,1,459300,41,23,Silver,Norte,0.7892840554319296,YES
54,0,751000,31,18,Platinum,Norte,0.0815853510078516,NO
55,1,701100,40,15,Silver,Centro,0.7252927204213125,YES
56,0,305100,25,18,Bronze,Centro,0.041592265905759,NO
57,0,624500,52,24,Bronze,Centro,-0.1090753715822246,NO
58,0,621700,38,18,Silver,Centro,-0.0751026806819022,NO
59,0,327800,51,24,Gold,Norte,0.0895460223674832,NO
60,0,622800,35,16,Bronze,Centro,0.0837209486728681,NO
61,0,730700,35,15,Bronze,Centro,0.0723799416444421,NO
62,0,331600,32,16,Gold,Norte,-0.0514416761656527,NO
63,0,362400,49,19,Gold,Centro,0.0910492131943696,NO
64,0,652600,33,19,Bronze,Norte,-0.1161244452480358,NO
65,0,540700,46,19,Bronze,Norte,0.1077359809862273,NO
66,0,582700,36,21,Silver,Centro,-0.026087080124589,NO
67,0,551100,20,15,Bronze,Centro,0.1684170406340632,NO
68,0,558600,34,15,Gold,Sur,-0.1521442092065485,NO
69,1,301000,28,18,Bronze,Sur,0.8763404045918521,YES
70,0,657100,40,10,Bronze,Norte,-0.0361464329163461,NO
71,0,675400,28,23,Bronze,Norte,-0.0379479256011744,NO
72,0,465600,49,24,Bronze,Sur,0.0194838818985596,NO
73,0,493500,39,21,Bronze,Norte,-0.0697078912800696,NO
74,0,270300,38,20,Bronze,Sur,-0.0072329001302306,NO
75,0,577100,47,20,Gold,Centro,-0.0737626265270854,NO
76,0,585800,50,19,Bronze,Centro,-0.0701063530979187,NO
77,0,490700,40,16,Gold,Centro,0.0486885950300571,NO
78,0,668700,32,17,Bronze,Norte,-0.0901565495303516,NO
79,0,449900,22,24,Silver,Centro,-0.0768194235005482,NO
80,1,584700,33,31,Bronze,Norte,0.5627208750253591,YES
81,0,347000,34,27,Bronze,Centro,-0.0503930679961339,NO
82,0,496500,41,23,Silver,Norte,0.1311602029723922,NO
83,0,473800,37,16,Silver,Norte,-0.0845933640102968,NO
84,0,533800,47,23,Gold,Sur,-0.0731633265187241,NO
85,0,444600,34,24,Gold,Sur,0.0193921946481535,NO
86,0,480300,39,25,Silver,Sur,-0.0370796433799526,NO
87,0,623900,52,15,Silver,Norte,0.222815443334965,NO
88,1,434500,43,19,Gold,Sur,0.6837472035323743,YES
89,0,259000,39,24,Silver,Sur,0.0335218346217371,NO
90,0,762400,34,18,Platinum,Sur,0.0943768784799322,NO
