age,months_active,monthly_spend,support_calls,contract_type,has_discount,churn
56,15,181.55,2,mes_a_mes,1,0
69,57,182.6,4,1_ano,0,0
46,58,109.54,1,1_ano,1,0
32,35,125.52,4,mes_a_mes,1,1
60,24,199.34,4,mes_a_mes,1,1
25,33,66.78,1,mes_a_mes,1,0
38,16,71.68,6,mes_a_mes,0,1
56,8,44.73,3,mes_a_mes,0,1
36,29,180.21,1,1_ano,0,0
40,23,151.45,2,mes_a_mes,0,0
28,45,30.07,4,1_ano,0,0
28,31,196.54,2,mes_a_mes,1,0
41,40,148.88,2,1_ano,0,0
70,49,171.6,1,mes_a_mes,0,1
53,54,19.15,0,2_anos,1,0
57,55,105.94,1,mes_a_mes,0,0
41,14,142.73,1,mes_a_mes,1,0
20,59,113.16,5,1_ano,0,0
39,53,136.66,1,1_ano,0,0
70,30,165.4,2,mes_a_mes,0,0
19,53,81.12,1,mes_a_mes,0,0
41,39,171.25,4,mes_a_mes,1,1
61,27,40.95,2,1_ano,0,0
47,47,61.47,1,mes_a_mes,1,0
55,16,18.24,1,mes_a_mes,1,0
19,51,79.24,1,1_ano,0,0
38,6,82.18,4,1_ano,1,1
50,55,163.0,3,1_ano,0,0
29,33,134.09,0,mes_a_mes,1,0
39,44,92.98,0,mes_a_mes,0,0
61,18,133.9,0,mes_a_mes,0,1
42,16,20.03,1,1_ano,0,0
66,12,44.25,1,mes_a_mes,0,0
44,20,129.12,3,mes_a_mes,0,1
59,45,131.86,3,mes_a_mes,1,0
45,40,157.09,2,1_ano,0,0
33,59,86.57,4,1_ano,0,0
32,29,147.29,1,mes_a_mes,0,0
64,30,139.96,2,mes_a_mes,0,0
68,26,193.04,0,1_ano,0,0
61,22,50.87,1,1_ano,0,0
72,33,114.82,1,mes_a_mes,1,0
69,58,124.34,2,mes_a_mes,1,0
74,53,199.74,2,mes_a_mes,0,1
20,39,48.22,3,mes_a_mes,0,0
54,47,109.41,2,2_anos,0,0
68,29,75.78,1,1_ano,0,0
24,22,109.92,2,2_anos,0,0
38,45,54.1,2,1_ano,0,0
26,13,19.05,2,mes_a_mes,1,0
56,9,118.79,2,mes_a_mes,0,1
35,24,73.81,1,mes_a_mes,1,0
21,15,44.57,0,1_ano,0,0
42,36,71.55,0,mes_a_mes,1,0
31,13,19.36,2,mes_a_mes,1,0
67,27,190.58,3,mes_a_mes,0,1
26,44,120.42,2,1_ano,1,0
43,37,164.81,2,mes_a_mes,1,0
70,7,90.39,5,mes_a_mes,0,1
19,8,181.63,2,1_ano,0,0
37,37,101.83,2,1_ano,0,0
45,41,119.05,2,mes_a_mes,0,1
64,14,103.44,3,mes_a_mes,0,1
24,58,149.32,2,1_ano,1,0
61,12,117.66,2,mes_a_mes,0,0
25,36,61.6,4,1_ano,0,0
64,52,37.65,2,mes_a_mes,0,0
52,40,125.16,1,1_ano,0,0
31,17,102.94,3,2_anos,0,0
34,40,28.24,1,1_ano,0,0
53,53,85.17,2,mes_a_mes,0,0
67,29,107.81,1,mes_a_mes,1,0
57,27,167.11,2,mes_a_mes,0,0
21,1,24.46,1,mes_a_mes,1,1
19,52,76.21,3,2_anos,1,0
23,34,166.3,2,mes_a_mes,1,0
71,4,133.2,2,2_anos,1,0
59,24,65.09,2,2_anos,0,0
21,21,170.61,1,2_anos,0,0
71,33,103.73,3,1_ano,0,0
46,7,104.69,2,mes_a_mes,0,1
35,1,195.55,2,mes_a_mes,0,1
43,41,189.95,2,1_ano,0,0
61,3,78.12,0,1_ano,0,0
51,44,36.71,2,mes_a_mes,1,0
27,51,71.88,3,1_ano,0,0
53,15,15.79,2,mes_a_mes,1,0
31,31,13.95,4,1_ano,0,0
48,54,85.15,2,2_anos,0,0
65,16,188.79,2,mes_a_mes,1,0
32,10,175.56,4,1_ano,0,1
25,54,107.17,1,1_ano,1,0
31,29,117.39,2,mes_a_mes,0,0
40,59,11.13,1,mes_a_mes,0,0
74,59,50.95,2,1_ano,0,0
57,6,14.71,3,mes_a_mes,0,1
38,29,153.36,2,2_anos,1,0
33,17,37.67,2,2_anos,1,0
62,53,175.12,2,mes_a_mes,0,0
35,22,132.23,2,mes_a_mes,0,1
64,24,53.59,2,1_ano,0,0
70,17,39.97,0,1_ano,1,0
41,21,129.25,4,mes_a_mes,1,1
43,51,181.16,0,mes_a_mes,1,0
42,50,146.49,2,1_ano,0,0
62,11,76.22,1,1_ano,0,0
58,56,121.6,0,mes_a_mes,0,0
46,7,69.04,1,1_ano,1,0
32,42,199.84,3,2_anos,1,0
62,39,152.28,1,mes_a_mes,1,0
18,5,126.73,1,mes_a_mes,0,1
42,44,90.42,4,2_anos,0,0
24,48,127.45,1,mes_a_mes,0,1
26,57,74.91,3,mes_a_mes,0,1
41,21,15.48,3,1_ano,1,0
18,18,85.07,3,mes_a_mes,1,0
61,35,186.79,3,1_ano,1,0
25,20,129.0,1,mes_a_mes,0,0
41,15,25.95,1,mes_a_mes,1,0
28,5,178.15,0,mes_a_mes,1,1
68,13,61.09,1,2_anos,1,0
34,51,56.32,1,mes_a_mes,0,1
25,12,66.45,1,1_ano,0,0
52,55,119.67,4,mes_a_mes,1,1
52,21,113.49,0,2_anos,0,0
50,37,103.37,2,mes_a_mes,0,1
22,6,146.33,6,mes_a_mes,1,1
59,7,70.14,3,mes_a_mes,1,1
56,26,158.59,0,2_anos,1,0
58,42,43.31,2,1_ano,1,0
45,48,158.7,2,2_anos,0,0
24,8,136.12,2,mes_a_mes,1,1
26,9,139.81,3,1_ano,0,0
25,27,101.5,0,mes_a_mes,1,0
29,4,136.73,5,1_ano,0,1
51,21,25.16,5,mes_a_mes,0,1
50,31,171.79,0,1_ano,1,0
65,21,20.55,2,2_anos,0,0
72,40,38.26,1,mes_a_mes,0,0
40,25,119.59,5,2_anos,0,0
41,39,150.49,5,1_ano,1,0
54,15,24.49,3,2_anos,0,0
52,53,184.95,4,1_ano,0,0
61,35,194.99,1,mes_a_mes,0,1
57,49,125.13,0,mes_a_mes,0,0
39,43,101.44,3,1_ano,0,0
44,41,150.87,4,mes_a_mes,0,1
52,37,72.39,1,mes_a_mes,0,1
18,57,103.72,2,mes_a_mes,1,0
52,42,184.07,3,1_ano,0,0
54,47,191.57,0,1_ano,0,0
64,28,186.14,1,1_ano,0,0
31,14,59.87,1,1_ano,1,0
20,4,54.17,1,1_ano,0,0
18,53,66.56,3,1_ano,1,0
22,20,93.85,4,1_ano,0,0
43,34,69.69,2,mes_a_mes,0,0
72,12,81.1,1,mes_a_mes,0,1
31,33,127.92,4,1_ano,1,0
56,24,154.88,5,mes_a_mes,1,1
44,20,149.76,2,2_anos,0,0
26,5,164.74,1,1_ano,1,0
32,38,16.12,2,1_ano,0,0
32,30,19.07,1,mes_a_mes,0,0
43,24,159.98,1,1_ano,0,0
59,43,111.28,0,mes_a_mes,1,0
30,40,119.85,2,mes_a_mes,0,0
68,7,19.99,2,1_ano,0,0
49,36,58.51,1,mes_a_mes,0,1
56,38,131.29,2,mes_a_mes,1,0
66,16,173.24,2,mes_a_mes,0,1
69,52,184.23,4,mes_a_mes,1,1
49,15,105.08,2,mes_a_mes,0,1
21,46,113.64,6,mes_a_mes,0,1
47,23,168.28,2,mes_a_mes,0,1
54,12,112.15,0,1_ano,0,0
40,29,108.2,1,2_anos,0,0
56,44,181.97,3,mes_a_mes,0,0
62,48,160.09,0,mes_a_mes,1,0
32,15,182.72,0,mes_a_mes,0,0
60,29,51.47,2,mes_a_mes,0,0
46,45,109.63,1,mes_a_mes,1,0
53,43,170.07,2,mes_a_mes,0,1
