ID,Edad,Nivel_Educativo,Experiencia_Anios,Departamento,Horas_Entrenamiento_Mensual,Satisfaccion_Laboral,Remoto,Salario_Mensual
1,56,Universitaria,38,Marketing,11,Alta,Sí,8230.5
2,46,Universitaria,23,TI,17,Muy Alta,No,6375.4
3,32,Técnica,13,TI,8,Media,No,4883.02
4,60,Secundaria,37,Finanzas,7,Alta,No,6739.09
5,25,Universitaria,7,Marketing,8,Alta,Sí,4729.6
6,38,Universitaria,20,Marketing,13,Baja,No,5538.33
7,56,Universitaria,38,Ventas,13,Alta,No,8031.01
8,36,Universitaria,15,TI,6,Media,Sí,5193.28
9,40,Postgrado,18,Finanzas,10,Alta,No,6129.18
10,28,Universitaria,8,Finanzas,8,Alta,No,4412.16
11,28,Universitaria,7,Ventas,13,Alta,No,4643.21
12,41,Técnica,20,Ventas,7,Media,Sí,4948.36
13,53,Secundaria,31,Finanzas,6,Media,No,6140.59
14,57,Técnica,36,Ventas,11,Alta,Sí,7369.01
15,41,Universitaria,23,Marketing,12,Alta,No,5831.54
16,20,Secundaria,2,Finanzas,8,Baja,Sí,2850.99
17,39,Universitaria,16,Recursos Humanos,8,Alta,No,5836.32
18,19,Universitaria,0,TI,9,Media,Sí,3567.66
19,41,Postgrado,20,TI,5,Alta,No,6121.06
20,61,Universitaria,40,Recursos Humanos,14,Media,No,8360.69
21,47,Universitaria,27,Recursos Humanos,7,Alta,No,6882.7
22,55,Secundaria,31,Marketing,4,Muy Alta,Sí,6561.95
23,19,Secundaria,1,Finanzas,7,Alta,Sí,2871.88
24,38,Técnica,15,Ventas,6,Alta,No,5480.01
25,50,Técnica,30,TI,10,Alta,Sí,7292.01
26,29,Postgrado,6,Recursos Humanos,11,Muy Alta,Sí,5047.92
27,39,Universitaria,15,Finanzas,17,Alta,No,5598.45
28,61,Técnica,37,Ventas,14,Alta,No,7965.35
29,42,Postgrado,20,TI,10,Muy Alta,Sí,6974.38
30,44,Universitaria,26,Finanzas,9,Alta,No,6885.29
31,59,Universitaria,39,TI,11,Alta,No,7958.0
32,45,Técnica,23,Marketing,9,Media,Sí,5913.72
33,33,Universitaria,9,TI,11,Alta,No,4864.78
34,32,Universitaria,12,Marketing,7,Media,Sí,4934.52
35,64,Universitaria,40,Marketing,11,Alta,Sí,8425.01
36,61,Técnica,39,Marketing,8,Alta,Sí,7832.64
37,20,Postgrado,0,Ventas,11,Alta,Sí,3570.89
38,54,Universitaria,36,Ventas,12,Muy Alta,No,7840.99
39,24,Universitaria,5,Marketing,5,Media,Sí,3658.39
40,38,Técnica,15,Finanzas,7,Alta,No,5017.94
41,26,Técnica,3,Marketing,5,Alta,No,3320.89
42,56,Postgrado,34,Finanzas,12,Media,No,7735.74
43,35,Universitaria,13,TI,14,Media,No,4953.05
44,21,Técnica,3,Ventas,6,Alta,No,3582.22
45,42,Secundaria,23,Finanzas,12,Media,Sí,5372.55
46,31,Técnica,8,Finanzas,10,Muy Alta,No,4198.0
47,26,Universitaria,2,Finanzas,11,Muy Alta,No,3964.78
48,43,Técnica,22,Recursos Humanos,7,Media,Sí,5744.75
49,19,Postgrado,0,Ventas,15,Alta,No,4119.17
50,37,Secundaria,18,Recursos Humanos,4,Media,No,4758.49
51,45,Secundaria,25,TI,13,Media,Sí,5445.9
52,64,Universitaria,40,Finanzas,6,Alta,No,8131.24
53,24,Universitaria,5,Ventas,8,Media,Sí,3824.1
54,61,Universitaria,40,Ventas,10,Alta,Sí,8337.73
55,25,Universitaria,3,Ventas,15,Alta,No,4048.38
56,64,Universitaria,40,Finanzas,13,Alta,No,8517.24
57,52,Técnica,30,Marketing,8,Media,Sí,6749.5
58,31,Universitaria,13,Marketing,11,Alta,No,4659.45
59,34,Técnica,12,Marketing,9,Media,No,4183.43
60,53,Postgrado,34,Recursos Humanos,9,Media,No,7605.12
61,57,Universitaria,35,Finanzas,10,Media,Sí,7820.06
62,21,Universitaria,1,TI,10,Muy Alta,No,3386.18
63,19,Técnica,0,Recursos Humanos,9,Media,No,2618.88
64,23,Técnica,5,Ventas,9,Muy Alta,No,4101.92
65,59,Universitaria,40,Marketing,15,Media,No,8244.12
66,21,Técnica,1,Ventas,8,Alta,No,3695.43
67,46,Secundaria,28,Recursos Humanos,11,Muy Alta,Sí,7087.67
68,35,Técnica,14,Marketing,6,Alta,No,4533.05
69,43,Universitaria,23,Finanzas,11,Baja,Sí,5652.18
70,61,Postgrado,40,Marketing,7,Media,Sí,8328.89
71,51,Técnica,27,Marketing,7,Muy Alta,Sí,7450.15
72,27,Universitaria,5,Marketing,15,Alta,No,3952.16
73,53,Técnica,34,Recursos Humanos,12,Alta,Sí,7771.7
74,31,Universitaria,13,Marketing,10,Baja,Sí,5194.96
75,48,Secundaria,29,Recursos Humanos,7,Alta,Sí,5830.39
76,65,Universitaria,40,Ventas,13,Alta,Sí,8552.9
77,32,Universitaria,14,Finanzas,12,Alta,No,5235.87
78,25,Secundaria,4,Marketing,9,Media,No,3363.54
79,31,Técnica,7,Recursos Humanos,7,Alta,Sí,4522.47
80,40,Técnica,16,Marketing,15,Alta,Sí,5527.5
81,57,Universitaria,37,Marketing,6,Alta,No,7989.95
82,38,Universitaria,20,Marketing,9,Media,No,5914.07
83,33,Universitaria,11,TI,7,Media,No,3856.08
84,62,Técnica,40,Finanzas,13,Alta,Sí,7704.11
85,35,Técnica,16,Finanzas,11,Alta,No,4875.32
86,64,Técnica,40,Recursos Humanos,11,Alta,No,8039.67
87,41,Universitaria,23,Ventas,8,Media,No,5668.81
88,43,Universitaria,19,Ventas,13,Muy Alta,Sí,6252.86
89,42,Secundaria,18,Ventas,5,Media,Sí,5211.62
90,62,Universitaria,38,Marketing,5,Alta,No,7406.81
91,58,Técnica,37,Recursos Humanos,3,Muy Alta,Sí,8515.43
92,46,Universitaria,28,Marketing,13,Alta,Sí,6719.97
93,32,Universitaria,12,TI,7,Media,No,4917.73
94,62,Universitaria,40,Recursos Humanos,12,Media,No,7824.43
95,18,Técnica,0,Recursos Humanos,7,Muy Alta,No,3384.82
