actividad_fisica,pasos_diarios,calorias_gastadas,horas_de_sueno,nivel_descanso
5.75,11278.26,2230.18,7.4,75.74
4.79,9358.5,1886.49,7.48,76.19
5.97,11045.24,2328.88,7.55,70.77
7.28,14404.04,2924.86,8.16,84.53
4.65,9663.95,1979.23,6.98,62.32
4.65,8660.47,1782.41,6.91,65.8
7.37,15261.88,3047.61,8.37,73.66
6.15,12546.19,2382.29,7.18,79.55
4.3,8224.46,1633.55,6.62,65.0
5.81,11556.92,2407.4,7.16,82.44
4.3,9408.91,1814.14,7.27,76.7
4.3,8969.58,1805.7,8.59,88.13
5.36,10730.28,2013.6,8.15,78.54
2.13,4141.32,805.44,8.3,77.8
2.41,4863.55,1047.35,8.07,83.35
4.16,8057.26,1666.78,8.16,81.27
3.48,5909.13,1284.93,7.02,63.49
5.47,11963.83,2234.38,7.36,66.03
3.64,7353.59,1383.7,6.81,63.28
2.88,5962.16,1332.07,7.35,82.63
7.2,14367.99,3033.87,7.98,90.86
4.66,8955.11,1924.94,7.59,76.97
5.1,10109.62,2176.62,8.42,84.93
2.86,4926.06,1151.63,6.7,65.33
4.18,9505.4,1749.91,7.85,73.83
5.17,9715.51,2214.33,6.63,73.14
3.27,6031.04,1333.95,7.57,85.03
5.56,10906.96,2199.9,8.02,75.72
4.1,8842.12,1469.15,7.35,73.08
4.56,9132.17,1816.67,7.89,76.61
4.1,7576.81,1721.32,6.83,66.18
7.78,16184.0,3205.93,6.34,69.28
4.98,10325.01,2042.34,7.89,72.34
3.41,7096.08,1311.24,8.72,89.54
6.23,12825.5,2295.84,6.8,71.67
3.17,7534.65,1217.97,8.36,82.84
5.31,11719.14,2094.88,7.53,79.77
2.06,3777.63,792.91,6.57,66.39
3.01,6827.38,1264.94,6.71,73.17
5.3,10782.17,2316.68,7.51,67.5
6.11,12464.95,2455.43,7.22,70.42
5.26,9667.97,2081.15,6.58,65.45
4.83,9567.86,1904.69,6.31,49.78
4.55,8690.28,1831.78,6.91,63.64
2.78,5978.46,1030.06,7.64,72.29
3.92,8376.01,1580.11,7.5,79.7
4.31,7580.84,1768.7,7.15,67.96
6.59,13160.35,2655.24,7.64,72.32
5.52,11591.79,2251.93,8.23,86.37
2.36,4617.54,985.55,7.78,69.67
5.49,11336.78,2017.26,7.42,63.79
4.42,9020.34,1832.64,8.15,79.69
3.98,8140.06,1526.75,6.83,61.04
5.92,11699.37,2257.42,7.34,66.38
6.55,12484.71,2508.15,7.36,76.46
6.4,12233.08,2602.12,6.63,70.72
3.74,7837.02,1474.21,7.21,76.01
4.54,9082.09,1646.28,6.05,66.02
