edad,horas_ejercicio_semanal,calorias_diarias,horas_sueno,pasos_diarios
23.79,7.26,2308.85,6.64,10445.71
21.5,6.83,2380.49,7.11,11943.83
24.33,6.05,2293.02,7.31,12032.43
27.48,5.42,2358.43,8.35,12850.73
21.16,6.63,2144.36,7.75,9539.65
21.16,6.35,2428.79,6.9,13066.62
27.69,6.81,2400.16,7.72,7132.1
24.76,6.57,2289.69,6.8,10866.21
20.31,6.94,2489.0,7.99,11121.11
23.95,5.52,2526.57,7.29,13139.99
20.33,7.19,2182.98,7.46,12040.74
20.32,6.18,2297.03,8.1,9469.99
22.87,7.87,2296.17,6.92,10227.01
15.11,5.38,2273.11,6.87,12357.62
15.79,7.56,2511.98,7.24,11857.68
19.98,6.18,2373.83,7.97,10957.58
18.35,5.41,2364.29,6.82,11134.5
23.13,5.56,2129.48,6.23,13253.1
18.73,5.71,2485.78,7.3,11068.15
16.92,6.38,2232.7,7.75,11841.44
27.28,6.47,2408.09,8.04,15905.89
21.19,5.48,2437.45,7.29,9437.37
22.24,5.98,2583.69,7.31,8666.68
16.87,7.93,2223.31,8.02,13410.46
20.04,7.55,1992.37,6.66,10778.44
22.4,6.39,2424.82,7.33,11427.17
17.86,6.03,2643.07,7.59,10593.92
23.35,6.11,2567.26,7.7,11532.36
19.84,6.55,2428.3,7.27,14877.37
20.95,5.08,2333.63,7.52,13443.83
19.83,5.77,2508.96,6.38,13552.0
28.67,4.5,2268.57,7.2,9450.79
21.95,6.36,2464.31,7.7,9927.92
18.19,6.58,2468.24,7.06,6889.66
24.96,5.57,2543.13,7.53,10543.11
17.6,7.42,2772.55,7.7,13722.07
22.75,4.9,2452.98,7.35,12930.5
14.95,4.68,2331.29,7.58,11601.28
17.22,6.2,2396.55,7.07,11959.86
22.71,6.94,2161.17,7.41,10760.01
24.66,7.52,2306.21,7.77,12368.57
22.62,5.59,2344.75,7.57,13378.58
21.58,6.97,2329.25,7.24,9091.4
20.92,5.97,2420.57,7.6,12539.37
16.68,5.84,2288.97,7.82,13678.38
19.41,6.8,2551.34,6.58,11252.82
20.34,6.59,2400.03,8.02,13261.26
25.81,4.58,2398.74,7.35,17066.38
23.24,7.33,2355.73,7.69,11812.18
15.65,7.24,2420.95,8.04,12707.95
23.17,5.44,2511.39,6.88,10671.5
20.61,6.36,2282.94,7.18,12326.25
19.56,6.44,2311.15,7.37,12828.49
24.2,6.23,2359.0,7.15,12350.72
25.71,5.5,2218.31,8.28,10164.55
25.35,5.4,2289.4,7.11,12371.45
18.98,5.98,2335.71,7.25,14631.95
20.89,7.06,2518.04,7.59,12807.54
23.19,6.49,2435.45,6.96,13731.58
25.51,5.67,2426.13,7.32,11573.38
20.27,6.69,2514.87,7.64,13349.82
21.33,3.44,2381.45,7.35,12502.68
18.02,7.03,2452.71,7.46,10288.36
17.69,4.43,2386.07,7.26,12573.34
24.93,5.67,2435.82,6.82,10214.95
26.88,4.99,2321.33,7.64,10860.82
21.74,4.83,2070.76,8.29,12340.79
25.61,7.04,2381.87,7.51,12535.04
23.3,5.58,2592.07,7.6,9859.38
19.68,6.31,2525.04,7.81,13897.17
23.3,5.96,2530.33,6.93,13029.61
27.54,6.43,2566.88,8.27,10731.49
21.87,6.07,2411.97,7.59,9232.35
27.63,4.85,2426.64,8.23,11739.17
12.57,6.9,2316.62,7.17,11197.3
24.96,5.56,2357.33,8.32,12203.65
22.31,4.6,2483.13,7.85,11346.39
20.92,5.61,2562.52,7.75,8386.58
22.33,7.35,2381.17,7.61,11300.98
14.84,6.77,2339.22,7.39,11449.89
21.21,5.69,2400.07,8.04,13140.59
23.29,5.69,2481.16,7.56,10743.24
27.32,5.71,2205.08,6.61,15021.61
20.13,7.87,2090.02,7.0,8559.05
19.09,6.34,2325.68,7.42,14360.1
20.19,6.39,2235.2,7.64,11596.23
25.3,6.93,2331.4,7.47,13547.25
23.18,6.21,2380.05,8.05,12143.64
20.09,5.77,2338.81,6.62,14051.2
23.85,5.82,2596.08,7.56,11302.75
22.35,5.94,2444.11,6.68,10022.48
25.49,5.97,2440.56,7.84,14556.91
19.47,6.65,2484.0,7.46,11795.73
20.82,6.05,2246.26,7.69,12398.81
20.59,6.66,2540.28,7.11,14222.55
16.73,5.93,2389.77,8.08,10142.48
23.07,6.07,2490.51,7.97,13071.88
22.94,4.2,2255.3,7.76,10938.19
22.02,6.82,2190.24,7.44,11762.1
21.16,6.31,2510.42,7.76,12130.1
16.9,6.9,2450.82,7.18,9299.6
20.49,3.39,2278.22,7.89,10598.09
20.77,7.88,2282.6,8.24,14431.93
19.11,5.87,2551.93,7.98,13595.14
21.42,7.0,2239.43,7.17,11887.25
23.45,5.06,2621.76,7.66,12437.62
28.79,6.55,2278.42,6.92,11470.36
22.63,5.05,2486.18,7.76,14441.85
22.93,5.44,2355.64,7.7,11639.37
21.73,7.72,2481.43,6.66,12417.32
15.09,5.83,2326.54,6.98,14062.85
21.9,6.2,2378.02,7.37,10600.73
22.22,6.78,2405.52,7.36,14805.82
30.87,6.45,2264.7,6.96,9245.17
21.31,6.14,2500.01,7.68,14933.36
23.09,6.33,2330.72,7.61,11329.18
21.88,8.16,2369.14,7.41,11563.14
17.79,5.95,2265.76,7.16,8597.98
26.11,6.18,2054.08,7.97,11181.37
24.71,6.95,2374.21,8.24,10128.35
24.85,6.99,2725.7,7.28,10906.24
18.73,7.07,2505.92,7.22,11752.84
27.05,6.57,2397.4,7.72,13724.02
16.95,4.97,2364.51,7.34,12373.69
24.11,7.47,2403.03,7.44,12553.82
29.89,4.97,2473.86,7.83,10028.07
18.43,6.27,2240.59,6.64,10414.64
19.96,5.32,2550.43,8.09,15237.71
22.36,5.94,2496.58,7.53,10676.64
20.19,6.3,2496.96,7.31,14981.17
16.42,6.29,2459.19,7.46,11562.49
22.25,6.38,2402.65,7.48,12004.12
18.18,7.45,2490.84,6.72,13926.66
23.7,6.41,2479.89,8.17,14289.41
18.69,5.78,2352.2,7.52,11800.54
27.58,6.87,2322.56,7.7,11301.16
19.18,7.07,2413.75,7.93,11899.34
20.84,4.9,2609.12,7.04,12608.32
24.93,6.54,2232.72,7.71,13604.35
17.57,6.63,2201.88,7.38,12007.61
22.82,5.73,2422.24,7.88,13114.0
26.71,7.24,2406.87,6.54,14949.05
16.21,5.86,2423.4,7.46,12686.36
22.66,6.11,2432.93,7.23,12560.98
22.94,5.84,2369.87,7.69,9265.96
24.81,6.01,2601.13,7.71,7264.69
17.55,5.01,2183.88,7.18,12699.08
17.25,4.7,2288.15,7.18,11829.32
23.88,7.44,2386.06,7.45,11073.39
23.07,5.24,2178.17,7.1,12438.35
22.9,5.11,2376.26,7.88,11891.27
23.25,4.06,2624.3,7.33,14030.0
19.55,5.42,2402.82,6.19,12155.0
22.84,4.81,2431.14,7.33,10655.54
23.06,7.48,2229.88,7.03,13782.3
19.43,6.91,2316.79,6.77,11609.16
28.72,5.38,2349.35,6.94,12947.77
23.71,8.03,2357.11,7.55,11140.66
17.71,6.88,2573.02,8.1,10830.31
24.36,5.71,2475.29,7.64,12151.5
18.49,3.75,2249.95,7.23,12023.09
24.83,8.06,2433.28,7.71,12863.69
26.17,4.75,2467.26,7.29,11516.44
19.05,4.52,2553.92,7.19,8694.55
25.47,6.92,2613.37,6.98,11221.01
23.49,8.2,2262.96,6.71,13428.87
24.96,7.25,2290.53,7.32,11464.72
28.83,6.51,2230.23,7.57,11556.51
21.12,6.54,2368.41,7.46,13775.48
19.29,6.77,2462.96,7.31,10718.45
18.8,6.68,2533.29,7.07,9222.95
19.06,6.25,2389.75,7.77,11710.86
21.72,6.09,2356.82,6.91,11128.49
23.23,5.94,2420.49,7.85,10260.76
23.0,5.32,2287.26,7.05,11684.32
24.98,5.75,2682.09,7.16,12884.71
22.05,4.48,2182.97,6.84,11983.28
27.23,5.91,2424.94,7.27,12552.57
21.05,5.11,2673.19,7.94,15264.13
31.79,5.01,2400.92,7.73,11382.82
24.25,6.16,2374.34,7.94,12501.03
18.91,7.25,2351.74,7.73,11083.42
18.14,6.83,2375.65,7.0,10476.55
23.74,4.59,2585.33,7.35,10947.17
21.2,5.11,2101.4,7.15,11138.23
24.57,6.85,2607.01,8.1,12647.06
23.7,5.12,2207.77,6.96,16228.34
21.74,5.8,2364.0,7.9,10711.12
18.95,6.5,2342.05,7.9,11250.07
16.55,5.13,2479.45,8.32,11886.38
20.39,6.09,2184.25,7.32,12712.44
25.08,4.8,2462.39,7.82,12474.39
22.77,5.46,2673.28,8.53,14311.37
17.52,6.29,2215.97,7.22,7632.49
22.62,4.57,2425.61,6.81,7703.53
23.39,6.4,2310.63,6.65,11107.42
18.82,5.98,2457.49,7.82,13975.14
22.55,6.5,2402.58,6.65,9181.83
22.21,6.2,2313.4,7.33,6586.26
17.89,7.23,2465.86,7.7,13028.12
23.29,6.11,2643.59,7.58,12438.58
24.02,5.61,2374.23,7.69,10037.62
25.9,6.11,2497.17,7.6,10226.03
25.79,6.49,2225.41,8.08,10254.46
17.04,6.04,2270.88,7.07,12198.96
18.62,6.04,2463.77,7.2,10872.63
23.85,5.37,2600.36,7.15,12889.32
23.85,5.4,2448.01,7.87,6861.67
23.85,4.74,2357.74,7.91,10457.67
35.87,7.57,2399.9,7.7,9973.1
24.06,4.88,2231.19,8.03,11538.59
26.09,5.38,2481.61,6.97,11031.51
25.43,5.35,2519.11,8.25,13436.12
24.35,6.81,2338.97,8.19,8653.19
20.87,5.73,2336.54,7.83,12081.88
24.73,7.12,2435.89,8.3,13005.01
19.22,5.39,2341.04,6.75,15341.97
21.15,6.25,2391.07,7.26,11132.82
20.25,5.25,2683.46,7.17,12584.03
22.29,7.93,2366.65,7.82,8753.05
30.33,4.93,2351.62,7.03,7694.48
15.28,6.28,2312.58,7.84,13520.59
24.47,6.57,2500.47,8.12,11989.99
16.19,6.37,2375.53,7.81,14121.32
20.3,5.83,2312.33,7.63,9527.87
25.92,5.88,2578.38,7.06,12935.82
22.23,6.04,2591.65,7.12,15363.87
18.12,5.87,2318.94,8.06,12755.47
19.42,6.87,2148.02,7.85,12497.85
24.45,7.99,2536.01,7.48,12015.4
19.37,5.5,2307.57,7.31,9172.41
22.78,4.77,2506.73,6.59,14440.03
22.16,5.92,2134.04,7.02,10900.46
19.65,8.32,2520.5,8.36,12908.07
29.72,5.28,2236.49,6.92,9186.54
24.28,7.48,2498.65,7.59,9876.97
14.71,7.51,2401.93,7.95,14583.16
22.67,5.5,2271.22,6.94,11374.86
19.62,6.51,2345.05,7.58,14615.9
25.07,7.47,2492.65,7.92,11859.18
19.15,5.66,2414.3,7.51,8684.58
21.59,5.82,2478.9,8.79,13605.72
23.82,5.48,2666.82,6.75,10938.19
25.12,5.09,2188.83,7.98,13257.64
17.68,5.42,2618.32,7.42,12045.38
20.8,4.9,2414.09,7.85,9222.39
