Employee_ID,Weekly_Hours,Projects_Completed,Experience_Years,Performance_Score,Satisfaction_Score,Teamwork_Score,Department,Education_Level,Work_Model,Gender
1,60,5,9,81,45,5,Sales,Master,On-site,Female
2,60,3,25,99,35,8,Marketing,Bachelor,On-site,Male
3,48,7,30,98,71,2,Finance,High School,Hybrid,Other
4,60,4,20,53,91,8,HR,Bachelor,Remote,Other
5,42,6,7,89,72,2,Engineering,Bachelor,Remote,Other
6,54,3,28,43,66,5,Engineering,Master,On-site,Other
7,33,5,21,44,69,2,Engineering,PhD,Remote,Other
8,49,4,6,59,75,8,Finance,Bachelor,Remote,Other
9,42,2,2,92,55,7,Engineering,High School,Remote,Other
10,30,6,5,65,61,4,Marketing,PhD,Remote,Male
11,52,5,30,83,96,0,Finance,PhD,Remote,Other
12,54,4,27,72,30,3,Sales,Master,On-site,Female
13,35,3,2,98,77,3,Sales,High School,On-site,Other
14,40,4,14,52,55,10,Engineering,PhD,Hybrid,Male
15,44,5,14,57,66,9,Sales,PhD,On-site,Female
16,31,5,10,94,51,8,Finance,High School,Hybrid,Male
17,38,6,9,96,84,9,HR,Bachelor,Hybrid,Other
18,35,8,26,76,62,7,HR,High School,Remote,Other
19,53,8,2,65,37,10,Engineering,High School,Remote,Female
20,35,5,14,79,43,9,Marketing,Bachelor,Remote,Female
21,45,7,10,95,40,5,HR,Bachelor,Remote,Other
22,50,7,11,67,33,6,HR,PhD,Remote,Male
23,46,2,4,55,47,10,Engineering,Bachelor,Remote,Other
24,30,5,11,75,47,7,Marketing,Master,Hybrid,Female
25,51,5,11,54,30,1,Marketing,High School,On-site,Female
26,33,4,19,60,79,6,Marketing,Bachelor,Remote,Male
27,34,4,29,64,93,1,Engineering,Master,On-site,Male
28,55,4,13,56,55,9,Sales,Bachelor,Hybrid,Female
29,47,5,23,100,46,1,Sales,Bachelor,Hybrid,Other
30,46,7,15,82,81,5,Marketing,High School,On-site,Female
31,53,6,18,83,100,9,HR,High School,Hybrid,Male
32,41,3,28,50,83,10,Sales,Master,Remote,Female
33,43,3,20,72,43,8,Finance,Bachelor,Hybrid,Other
34,30,6,3,81,49,9,Engineering,High School,Hybrid,Other
35,58,2,19,70,46,6,Marketing,Master,On-site,Female
36,31,4,30,60,93,10,Finance,Master,On-site,Male
37,39,4,7,98,88,10,Marketing,Bachelor,On-site,Male
38,57,9,12,46,89,8,Marketing,PhD,Hybrid,Male
39,43,4,18,52,70,8,Sales,Bachelor,Hybrid,Female
40,49,6,8,51,77,6,Sales,PhD,Remote,Male
41,56,5,21,78,74,2,Marketing,Master,On-site,Male
42,39,5,2,90,35,0,HR,Master,Hybrid,Other
43,40,2,30,88,93,9,HR,Bachelor,On-site,Other
44,58,3,16,89,74,0,Marketing,Master,Remote,Male
45,34,4,29,40,67,10,Engineering,High School,On-site,Other
46,40,9,11,56,90,2,Marketing,Bachelor,On-site,Female
47,40,6,30,95,77,0,Sales,High School,On-site,Other
48,45,5,2,94,93,6,Finance,Bachelor,Hybrid,Other
49,51,6,21,43,51,9,Sales,Master,Remote,Other
50,35,1,2,75,71,2,Finance,PhD,On-site,Male
51,40,6,27,77,78,3,Engineering,Master,Hybrid,Other
52,58,6,5,76,74,7,Finance,Bachelor,On-site,Female
53,50,6,24,99,52,9,Finance,Bachelor,Remote,Female
54,39,4,12,67,44,5,Marketing,PhD,Remote,Male
55,35,6,10,48,58,10,Finance,Master,On-site,Male
56,51,5,9,45,70,2,Engineering,Bachelor,Hybrid,Male
57,50,4,28,76,31,9,Finance,PhD,On-site,Female
58,58,7,7,41,54,3,Marketing,PhD,Remote,Female
59,47,6,19,71,61,10,Finance,Master,On-site,Female
60,53,4,24,62,74,10,Sales,High School,On-site,Female
61,35,8,14,78,91,7,Finance,PhD,On-site,Other
62,60,3,21,70,84,3,Finance,Bachelor,On-site,Other
63,50,4,6,43,72,7,HR,PhD,Remote,Other
64,54,6,18,92,82,0,Finance,Master,Hybrid,Male
65,37,3,8,92,35,9,Marketing,High School,Remote,Other
66,36,5,29,72,94,3,Marketing,High School,Remote,Female
67,38,4,19,88,49,8,Finance,Master,Hybrid,Other
68,43,1,0,55,36,8,HR,PhD,Remote,Male
69,54,2,15,48,41,1,HR,Master,Hybrid,Female
70,45,3,30,94,59,4,Engineering,High School,Remote,Female
71,48,7,3,71,86,2,Engineering,Bachelor,Hybrid,Other
72,38,3,6,79,78,1,Marketing,PhD,Remote,Female
73,52,7,29,91,50,6,Engineering,Master,Hybrid,Female
74,45,4,24,60,44,2,Engineering,Master,Remote,Female
75,55,6,20,70,76,4,Engineering,Bachelor,Remote,Female
76,37,5,12,80,34,8,Sales,PhD,On-site,Female
77,51,5,8,51,96,8,Marketing,Master,Remote,Other
78,59,5,28,67,83,5,HR,PhD,Remote,Female
79,48,4,6,41,63,0,HR,PhD,On-site,Male
