ID,Superficie_m2,Habitaciones,Baños,Antiguedad,Ubicacion,Estacionamientos,TieneTerraza,PrecioVenta
1,103,4,4,31.0,Alta,3.0,No,77691.0
2,148,3,2,35.0,Alta,0.0,No,80941.0
3,197,6,4,43.0,Media,2.0,No,89893.0
4,34,3,2,47.0,Media,3.0,Sí,41221.0
5,149,5,4,76.0,Baja,3.0,Sí,93710.0
6,139,5,2,58.0,Media,0.0,Sí,65565.0
7,151,6,4,57.0,Media,1.0,Sí,70565.0
8,155,5,2,21.0,Baja,2.0,Sí,12208.0
9,152,6,4,28.0,Baja,0.0,No,57508.0
10,82,2,2,50.0,Alta,0.0,Sí,55005.0
11,115,3,3,21.0,Media,2.0,Sí,54901.0
12,95,1,1,68.0,Media,0.0,Sí,29979.0
13,62,5,3,24.0,Media,3.0,Sí,25782.0
14,146,6,3,1.0,Alta,2.0,No,90361.0
15,159,3,2,0.0,Alta,2.0,Sí,108025.0
16,74,6,3,5.0,Media,2.0,Sí,87402.0
17,135,4,3,10.0,Media,1.0,Sí,34892.0
18,137,1,1,62.0,Alta,0.0,Sí,38290.0
19,204,3,3,72.0,Baja,1.0,No,14043.0
20,112,4,1,59.0,Alta,2.0,No,54649.0
21,110,1,4,1.0,Alta,1.0,Sí,56928.0
22,189,2,4,56.0,Alta,1.0,Sí,77288.0
23,109,6,3,31.0,Media,3.0,Sí,74011.0
24,174,1,1,39.0,Media,1.0,Sí,26949.0
25,134,5,2,17.0,Media,2.0,Sí,41365.0
26,84,2,2,79.0,Media,3.0,No,3323.0
27,205,3,3,54.0,Alta,1.0,Sí,49805.0
28,109,2,1,10.0,Media,1.0,No,56769.0
29,130,1,3,73.0,Media,2.0,Sí,29359.0
30,95,2,4,25.0,Media,0.0,No,46990.0
31,186,4,1,20.0,Media,0.0,Sí,45004.0
32,118,5,4,50.0,Alta,2.0,No,50301.0
33,47,6,4,20.0,Media,1.0,Sí,100880.0
34,89,1,1,68.0,Media,0.0,Sí,15667.0
35,153,1,1,31.0,Media,2.0,No,23818.0
36,118,2,3,16.0,Media,3.0,No,33856.0
37,142,1,2,54.0,Alta,2.0,Sí,39197.0
38,104,3,2,,Alta,0.0,No,82163.0
39,101,3,2,37.0,Media,1.0,Sí,53506.0
40,137,2,3,63.0,Alta,2.0,Sí,62037.0
41,143,5,2,8.0,Alta,3.0,No,56750.0
42,50,4,4,53.0,Alta,2.0,No,107246.0
43,175,1,3,39.0,Alta,2.0,Sí,66036.0
44,69,6,3,21.0,Alta,3.0,No,61275.0
45,110,5,4,35.0,Media,2.0,No,68303.0
46,81,5,2,67.0,Media,1.0,Sí,15965.0
47,72,5,4,73.0,Media,,No,39054.0
48,227,6,1,57.0,Media,1.0,Sí,21660.0
49,21,3,2,2.0,Baja,,No,39856.0
50,123,1,2,10.0,Alta,2.0,No,64666.0
51,104,5,1,49.0,Media,0.0,Sí,29626.0
52,74,5,2,32.0,Media,3.0,No,47125.0
53,27,3,2,27.0,Alta,0.0,Sí,56115.0
54,123,2,3,71.0,Media,2.0,Sí,34596.0
55,148,6,3,23.0,Media,2.0,Sí,90918.0
