Student_ID,Hours_Studied,Attendance_Rate,Assignments_Completed,Midterm_Score,Final_Score,Project_Score,Participation_Score,Study_Method
1,2,58,10,21,53,24,0,Kinesthetic
2,28,51,4,35,1,100,1,Visual
3,34,59,10,19,84,68,9,Auditory
4,38,62,2,27,24,66,5,Reading/Writing
5,17,83,3,67,100,28,8,Kinesthetic
6,19,65,7,10,79,79,5,Kinesthetic
7,22,71,1,61,51,53,6,Reading/Writing
8,33,91,3,53,8,15,0,Kinesthetic
9,32,69,5,89,15,80,8,Reading/Writing
10,9,80,2,71,42,76,3,Visual
11,32,66,0,27,7,68,10,Kinesthetic
12,32,63,9,78,47,12,2,Auditory
13,25,61,3,75,31,93,7,Visual
14,19,92,3,79,16,66,6,Auditory
15,14,88,9,64,83,3,1,Reading/Writing
16,36,83,9,74,47,29,4,Visual
17,32,69,1,42,74,59,9,Kinesthetic
18,16,100,5,68,83,43,7,Visual
19,4,60,4,54,68,35,0,Reading/Writing
20,3,79,2,45,45,6,8,Kinesthetic
21,2,80,10,46,18,21,6,Auditory
22,20,54,8,86,71,3,5,Visual
23,39,74,10,29,47,100,10,Auditory
24,2,61,9,71,14,85,2,Kinesthetic
25,20,72,7,55,61,42,9,Kinesthetic
26,7,97,0,37,2,17,8,Auditory
27,35,98,0,3,54,21,7,Kinesthetic
28,28,78,2,23,0,47,9,Visual
29,38,71,3,64,83,26,9,Auditory
30,33,68,10,81,51,78,3,Reading/Writing
31,21,57,8,91,67,29,8,Auditory
32,30,93,7,81,28,30,10,Kinesthetic
33,27,87,7,100,39,6,8,Auditory
34,34,77,6,11,12,13,4,Visual
35,33,64,6,32,32,28,2,Kinesthetic
36,12,89,10,5,51,31,9,Reading/Writing
37,40,99,6,55,3,23,10,Kinesthetic
38,3,76,3,31,80,60,5,Reading/Writing
39,5,83,5,73,36,71,7,Visual
40,0,93,5,75,33,33,8,Reading/Writing
41,11,97,9,36,15,80,5,Auditory
42,34,82,1,16,9,90,9,Reading/Writing
43,10,94,3,11,100,30,4,Auditory
44,22,98,10,62,62,31,7,Kinesthetic
45,13,51,5,80,44,48,0,Kinesthetic
46,18,53,10,0,85,57,6,Kinesthetic
47,36,90,6,50,91,29,3,Visual
48,15,92,0,11,91,99,0,Auditory
49,27,65,3,22,65,88,1,Reading/Writing
50,30,84,8,62,90,35,0,Visual
51,6,76,3,22,63,74,8,Reading/Writing
52,26,60,8,10,51,91,8,Visual
53,16,68,4,99,39,58,5,Auditory
54,6,66,6,94,91,13,4,Kinesthetic
55,14,96,10,97,60,56,3,Reading/Writing
56,39,68,1,95,86,22,7,Auditory
57,11,60,6,94,79,57,7,Reading/Writing
58,7,68,1,26,42,58,2,Auditory
59,1,99,7,24,43,73,0,Kinesthetic
60,37,106,6,37,28,36,4,Auditory
61,25,82,8,9,1,51,2,Kinesthetic
62,20,91,3,70,42,49,10,Kinesthetic
63,12,82,8,23,31,2,7,Kinesthetic
64,18,66,0,29,54,26,6,Visual
65,17,71,0,14,89,94,9,Kinesthetic
66,1,95,9,4,1,10,6,Kinesthetic
