Student_ID,Hours_Studied,Attendance_Rate,Assignments_Completed,Midterm_Score,Final_Score,Project_Score,Participation_Score
1,2,58,10,21,53,24,0
2,28,51,4,35,1,100,1
3,34,59,10,19,84,68,9
4,38,62,2,27,24,66,5
5,17,83,3,67,100,28,8
6,19,65,7,10,79,79,5
7,22,71,1,61,51,53,6
8,33,91,3,53,8,15,0
9,32,69,5,89,15,80,8
10,9,80,2,71,42,76,3
11,32,66,0,27,7,68,10
12,32,63,9,78,47,12,2
13,25,61,3,75,31,93,7
14,19,92,3,79,16,66,6
15,14,88,9,64,83,3,1
16,36,83,9,74,47,29,4
17,32,69,1,42,74,59,9
18,16,100,5,68,83,43,7
19,4,60,4,54,68,35,0
20,3,79,2,45,45,6,8
21,2,80,10,46,18,21,6
22,20,54,8,86,71,3,5
23,39,74,10,29,47,100,10
24,2,61,9,71,14,85,2
25,20,72,7,55,61,42,9
26,7,97,0,37,2,17,8
27,35,98,0,3,54,21,7
28,28,78,2,23,0,47,9
29,38,71,3,64,83,26,9
30,33,68,10,81,51,78,3
31,21,57,8,91,67,29,8
32,30,93,7,81,28,30,10
33,27,87,7,100,39,6,8
34,34,77,6,11,12,13,4
35,33,64,6,32,32,28,2
36,12,89,10,5,51,31,9
37,40,99,6,55,3,23,10
38,3,76,3,31,80,60,5
39,5,83,5,73,36,71,7
40,0,93,5,75,33,33,8
41,11,97,9,36,15,80,5
42,34,82,1,16,9,90,9
43,10,94,3,11,100,30,4
44,22,98,10,62,62,31,7
45,13,51,5,80,44,48,0
46,18,53,10,0,85,57,6
47,36,90,6,50,91,29,3
48,15,92,0,11,91,99,0
49,27,65,3,22,65,88,1
50,30,84,8,62,90,35,0
51,6,76,3,22,63,74,8
52,26,60,8,10,51,91,8
53,16,68,4,99,39,58,5
54,6,66,6,94,91,13,4
55,14,96,10,97,60,56,3
56,39,68,1,95,86,22,7
57,11,60,6,94,79,57,7
58,7,68,1,26,42,58,2
59,1,99,7,24,43,73,0
60,37,61,6,37,28,36,4
61,25,82,8,9,1,51,2
62,20,91,3,70,42,49,10
63,12,82,8,23,31,2,7
64,18,66,0,29,54,26,6
65,17,71,0,14,89,94,9
66,1,95,9,4,1,10,6
67,27,83,0,95,79,75,7
68,22,61,0,42,45,12,6
69,3,97,3,57,62,96,7
70,3,81,8,99,81,97,6
71,11,54,10,11,69,63,3
72,21,64,10,50,25,51,10
73,25,97,2,2,28,87,0
74,39,54,5,92,54,4,10
75,34,57,4,80,97,80,0
76,3,92,9,61,5,89,6
77,11,93,1,34,87,21,4
78,3,50,5,38,40,50,6
79,30,92,5,91,69,88,3
80,6,61,2,0,30,9,8
81,9,66,3,34,71,90,6
82,23,94,9,71,90,29,0
83,14,50,2,70,25,26,1
84,38,64,10,84,54,62,1
85,19,51,2,13,21,5,2
86,6,71,10,52,29,74,7
87,12,76,7,59,47,43,2
88,27,67,3,51,44,23,3
89,38,89,0,54,60,81,1
90,17,100,8,61,95,46,1
91,10,68,0,56,3,56,8
92,35,98,5,38,23,17,7
93,35,73,6,98,64,36,1
94,1,56,4,11,26,63,7
95,16,70,10,70,25,83,10
96,5,96,3,54,89,19,8
97,40,80,0,64,33,83,6
98,22,77,4,90,87,83,2
99,15,60,7,85,46,50,9
100,40,84,7,58,21,40,9
101,25,100,1,81,77,2,10
102,0,95,1,87,45,21,4
103,35,68,10,33,31,27,10
104,29,76,4,36,27,74,8
105,1,98,10,64,37,90,0
106,19,60,1,11,61,55,0
107,4,93,9,56,40,45,2
108,30,75,1,92,14,95,0
109,7,64,4,92,2,87,6
110,29,60,2,89,90,76,10
111,38,69,9,67,62,58,0
112,1,62,5,35,34,53,7
113,12,79,8,18,23,35,4
114,3,65,9,27,59,44,2
115,7,93,7,58,57,45,5
116,38,54,3,13,19,85,2
117,24,67,8,70,95,79,10
118,6,71,3,44,29,0,2
119,13,84,9,40,77,95,7
120,28,65,2,96,95,25,2
121,20,82,2,92,7,47,5
122,36,71,5,17,65,38,8
123,32,69,10,59,4,22,6
124,40,90,2,47,81,10,2
125,24,59,4,22,71,38,5
126,13,54,1,85,71,57,10
127,8,64,8,43,19,25,9
128,14,75,3,85,54,59,9
129,6,72,10,75,91,9,5
130,1,100,7,92,49,71,6
131,30,86,0,3,87,39,5
132,6,57,3,5,21,7,2
133,40,58,7,62,14,38,1
134,10,64,3,56,33,29,10
135,12,70,10,93,83,34,8
136,12,77,2,3,1,90,1
137,25,51,7,13,95,63,4
138,7,91,10,89,93,16,9
139,13,55,9,40,71,22,6
140,1,86,1,19,14,67,3
141,14,95,8,37,13,12,7
142,23,56,3,1,88,17,5
143,33,67,8,99,51,16,2
144,3,88,3,33,2,81,7
145,17,52,5,91,46,62,4
146,24,68,5,57,72,78,9
147,23,98,10,59,8,72,6
148,5,80,2,61,23,6,1
149,33,58,6,98,81,13,7
150,37,72,9,9,5,44,5
151,2,66,8,83,4,73,2
152,18,63,5,59,67,5,8
153,35,79,3,82,83,26,4
154,18,97,5,67,72,83,5
155,27,53,3,53,81,34,8
156,9,68,5,58,54,80,0
157,17,68,10,58,91,48,4
158,3,80,9,13,4,86,10
159,11,88,10,52,74,55,5
160,26,68,5,48,11,24,3
161,28,64,1,74,7,38,9
162,11,66,1,96,41,85,8
163,10,94,3,72,32,77,1
164,3,65,0,21,15,45,10
165,23,95,3,47,35,16,4
166,25,86,8,49,6,6,10
167,27,63,8,97,55,0,3
168,3,53,7,25,72,58,8
169,35,67,6,12,78,80,1
170,14,66,10,29,55,56,3
171,21,81,1,89,24,11,10
172,23,55,4,97,40,69,8
173,23,54,5,85,84,11,3
174,36,89,4,48,23,98,2
175,4,54,8,23,85,10,3
176,5,70,10,95,97,64,3
177,9,61,9,50,59,47,5
178,2,76,10,13,90,95,6
179,37,82,10,16,26,26,1
180,33,65,10,22,75,42,7
181,5,76,9,59,4,15,4
182,9,59,5,82,72,23,4
183,15,64,9,26,87,85,5
184,28,57,9,96,58,47,5
185,2,56,0,60,55,73,7
186,10,76,3,19,83,37,0
187,36,72,8,15,3,63,7
