Trip_Distance_km,Time_of_Day,Day_of_Week,Passenger_Count,Traffic_Conditions,Weather,Base_Fare,Per_Km_Rate,Per_Minute_Rate,Trip_Duration_Minutes,Trip_Price
19.35,Morning,Weekday,3.0,Low,Clear,3.56,0.8,0.32,53.82,36.2624
47.59,Afternoon,Weekday,1.0,High,Clear,,0.62,0.43,40.57,
36.87,Evening,Weekend,1.0,High,Clear,2.7,1.21,0.15,37.27,52.9032
30.33,Evening,Weekday,4.0,Low,,3.48,0.51,0.15,116.81,36.4698
,Evening,Weekday,3.0,High,Clear,2.93,0.63,0.32,22.64,15.618000000000002
8.64,Afternoon,Weekend,2.0,Medium,Clear,2.55,1.71,0.48,89.33,60.202799999999996
3.85,Afternoon,Weekday,4.0,High,Rain,3.51,1.66,,5.05,11.2645
43.44,Evening,Weekend,3.0,,Clear,2.97,1.87,0.23,,101.1216
30.45,Morning,Weekday,3.0,High,Clear,2.77,1.78,0.34,110.33,
35.7,Afternoon,Weekday,2.0,Low,Rain,3.39,1.52,0.47,,75.5657
,Morning,Weekday,4.0,,Clear,2.4,0.58,0.43,26.34,14.892
48.53,Night,Weekday,3.0,Low,Clear,4.78,,0.5,79.94,
41.79,Night,Weekend,3.0,High,Clear,4.6,1.77,0.11,86.95,88.13279999999999
11.4,Morning,Weekday,3.0,,Clear,4.12,,0.15,84.12,36.118
9.91,Evening,Weekday,2.0,High,Clear,2.32,1.26,0.34,41.72,28.991400000000002
9.99,Night,Weekday,4.0,High,Clear,4.33,0.85,0.43,34.0,27.441499999999998
15.91,Morning,Weekday,4.0,Low,Clear,4.42,1.77,0.21,114.93,56.716
26.71,Afternoon,Weekend,4.0,Low,Rain,4.3,1.59,0.2,111.18,69.0049
22.17,Night,,4.0,Low,Clear,2.34,1.97,0.41,57.59,69.6268
15.27,Morning,,,Low,Clear,3.93,0.73,0.12,,27.354300000000002
30.98,Afternoon,Weekend,1.0,Low,Rain,4.5,0.84,0.25,57.02,44.7782
7.84,Morning,Weekday,4.0,Medium,,3.73,0.82,0.3,53.8,26.298799999999996
105.94355003672595,Night,Weekend,2.0,Low,Rain,3.94,1.69,0.32,23.03,201.86950918612797
18.95,Night,Weekday,1.0,Low,Clear,3.38,0.78,0.39,54.04,39.2366
23.35,Night,,3.0,Low,Rain,3.59,0.6,0.24,66.8,33.632000000000005
39.47,Afternoon,Weekday,1.0,Low,Clear,,,0.35,7.59,83.69649999999999
10.78,Evening,,3.0,High,Rain,3.92,0.54,0.33,56.07,28.2443
138.09832791310237,Evening,Weekend,4.0,Medium,Rain,2.24,1.75,0.32,94.86,280.87730155406564
30.03,,Weekday,1.0,High,Clear,3.31,1.05,0.36,83.21,64.7971
3.28,Evening,Weekday,2.0,Medium,Clear,2.88,1.76,0.2,78.04,24.260800000000003
30.77,Morning,Weekday,1.0,Low,Clear,3.64,1.33,0.13,109.6,58.8121
9.36,Afternoon,Weekday,1.0,Medium,Clear,2.4,1.85,0.15,7.07,20.7765
4.19,Morning,Weekday,1.0,Low,Clear,4.07,1.89,0.19,69.06,
47.5,Morning,Weekend,,Low,Clear,4.39,0.51,0.3,95.55,57.28
48.32,Morning,Weekday,2.0,Low,Clear,2.49,0.61,0.44,67.25,61.5552
40.61,Afternoon,Weekday,1.0,Low,Clear,2.31,0.88,0.38,42.25,54.101800000000004
15.93,Afternoon,Weekday,2.0,Low,,2.44,1.5,0.42,20.67,35.016400000000004
5.79,Evening,Weekday,4.0,Low,Clear,4.63,1.83,0.24,107.07,40.9225
34.53,Morning,Weekday,3.0,Medium,Clear,3.58,,0.26,59.14,60.0471
22.57,Afternoon,Weekday,1.0,Low,Clear,3.4,1.41,,105.98,62.77850000000001
6.98,Afternoon,Weekend,2.0,Low,Clear,2.32,0.78,0.18,72.37,20.791
25.26,Evening,Weekday,2.0,High,Clear,3.95,1.71,0.12,82.53,57.0482
