Tienda,Fecha,Producto,Precio Unitario (€),Cantidad Vendida,Costo Producción (€),Gasto Publicidad (€),Descuento Aplicado (%),Ingresos Totales (€),Ganancia Bruta (€)
4,2023-01-01,Smartphone,561.28,2,404.02,106,18,920.49,112.46
5,2023-01-02,Cámara,480.68,3,280.84,209,16,1211.33,368.81
3,2023-01-03,Auriculares,219.6,4,63.42,176,2,860.82,607.13
5,2023-01-04,Auriculares,61.63,5,56.6,274,14,265.01,-18.0
5,2023-01-05,Cámara,496.11,9,325.67,144,16,3750.6,819.53
2,2023-01-06,Cámara,477.19,6,300.94,360,5,2720.01,914.38
3,2023-01-07,Cámara,448.02,1,263.67,55,18,367.38,103.7
3,2023-01-08,Tablet,421.05,3,216.0,472,11,1124.21,476.22
3,2023-01-09,Auriculares,101.82,7,64.71,314,3,691.38,238.39
5,2023-01-10,Auriculares,145.55,8,38.6,283,11,1036.33,727.56
4,2023-01-11,Tablet,440.53,7,258.74,337,1,3052.87,1241.72
3,2023-01-12,Cámara,545.04,5,302.28,469,6,2561.67,1050.24
5,2023-01-13,Smartphone,554.09,8,396.66,433,15,3767.81,594.51
2,2023-01-14,Cámara,532.05,9,298.07,65,11,4261.7,1579.05
4,2023-01-15,Cámara,533.26,7,282.69,189,15,3172.92,1194.07
2,2023-01-16,Tablet,348.95,9,249.68,346,13,2732.25,485.09
4,2023-01-17,Auriculares,84.07,1,38.31,244,0,84.07,45.76
5,2023-01-18,Cámara,427.19,9,292.55,235,8,3537.17,904.18
1,2023-01-19,Auriculares,133.48,3,43.53,442,6,376.42,245.84
4,2023-01-20,Laptop,1033.25,6,695.47,174,4,5951.53,1778.73
2,2023-01-21,Auriculares,171.52,8,68.44,66,9,1248.65,701.1
5,2023-01-22,Smartphone,588.56,3,397.4,415,9,1606.77,414.56
4,2023-01-23,Smartphone,622.57,4,420.47,438,17,2066.94,385.05
1,2023-01-24,Cámara,549.39,7,330.76,75,6,3614.96,1299.67
1,2023-01-25,Auriculares,62.31,7,67.1,262,17,361.99,-107.7
3,2023-01-26,Cámara,454.7,4,310.69,434,12,1600.55,357.79
3,2023-01-27,Tablet,363.86,9,256.54,50,10,2947.23,638.4
2,2023-01-28,Smartphone,582.54,3,417.31,340,9,1590.32,338.4
4,2023-01-29,Cámara,456.47,8,301.79,314,8,3359.64,945.34
4,2023-01-30,Tablet,366.01,8,269.69,392,14,2518.14,360.61
3,2023-01-31,Cámara,544.05,4,312.28,87,13,1893.28,644.15
4,2023-02-01,Auriculares,95.18,7,42.8,282,2,652.95,353.33
4,2023-02-02,Auriculares,115.33,4,67.92,309,13,401.37,129.7
1,2023-02-03,Auriculares,72.46,1,51.83,357,15,61.59,9.76
3,2023-02-04,Auriculares,69.18,1,47.88,452,2,67.8,19.92
5,2023-02-05,Laptop,1014.28,1,690.48,310,7,943.28,252.8
3,2023-02-06,Tablet,406.3,2,253.32,287,1,804.48,297.84
